Date,AMD,ADBE,ALGN,AMZN
2021-02-05,87.9000015258789,492.1199951171875,620.4500122070312,3352.14990234375
2021-02-08,91.47000122070312,493.760009765625,602.4400024414062,3322.93994140625
2021-02-09,90.91000366210938,496.04998779296875,615.0,3305.0
2021-02-10,92.3499984741211,492.6700134277344,605.780029296875,3286.580078125
2021-02-11,92.66000366210938,496.6199951171875,599.0,3262.1298828125
2021-02-12,93.7699966430664,498.8399963378906,609.5800170898438,3277.7099609375
2021-02-16,91.45999908447266,501.6400146484375,614.2100219726562,3268.949951171875
2021-02-17,89.94000244140625,491.2300109863281,599.530029296875,3308.639892578125
2021-02-18,88.63999938964844,488.3699951171875,594.989990234375,3328.22998046875
2021-02-19,89.58000183105469,479.1199951171875,599.25,3249.89990234375
2021-02-22,85.37000274658203,467.3299865722656,579.5399780273438,3180.739990234375
