Company,Symbol,Movement,Cluster
HPE,Hewlett Packard Enterprise,-8.869989395141602,0
HLT,Hilton Worldwide,-0.43000173568725586,0
HOLX,Hologic,5.230018615722656,0
HD,Home Depot,-24.560035705566406,2
HON,Honeywell,112.3544921875,1
HRL,Hormel,15.799476623535156,4
HST,Host Hotels & Resorts,7.8499603271484375,3
HWM,Howmet Aerospace,-6.390006065368652,0
HUM,Humana,-1.9750232696533203,0
HBAN,Huntington Bancshares,7.01988410949707,0
HII,Huntington Ingalls Industries,89.40982055664062,1
IBM,IBM,-3.279998779296875,0
IEX,IDEX Corporation,-60.599700927734375,4
INFO,IHS Markit,15.269920349121094,4
IPGP,IPG Photonics,195.92990112304688,2
IQV,IQVIA,32.675018310546875,1
IDXX,Idexx Laboratories,7.530181884765625,4
ITW,Illinois Tool Works,99.05033874511719,2
ILMN,Illumina,-12.199951171875,2
INCY,Incyte,12.545021057128906,0
IR,Ingersoll Rand,6.1679534912109375,2
INTC,Intel,-11.030036926269531,1
ICE,Intercontinental Exchange,-10.480010986328125,4
IFF,International Flavors & Fragrances,9.698884963989258,4
IP,International Paper,1.2500524520874023,0
IPG,Interpublic Group,-7.100151062011719,4
INTU,Intuit,130.61427307128906,2
ISRG,Intuitive Surgical,47.419769287109375,1
IVZ,Invesco,2.359996795654297,0
IRM,Iron Mountain,26.120193481445312,2
JBHT,J. B. Hunt,-20.2750244140625,1
SJM,JM Smucker,3.2500133514404297,4
JPM,JPMorgan Chase,-33.18971252441406,1
JKHY,Jack Henry & Associates,6.275058746337891,4
J,Jacobs Engineering Group,27.680007934570312,4
JNJ,Johnson & Johnson,13.839874267578125,3
JCI,Johnson Controls,1.3100433349609375,3
JNPR,Juniper Networks,14.849994659423828,4
KLAC,KLA Corporation,5.52984619140625,0
KSU,Kansas City Southern,2.014995574951172,1
K,Kellogg's,62.530029296875,4
KEY,KeyCorp,1.2699203491210938,3
KEYS,Keysight Technologies,-0.14499855041503906,0
KMB,Kimberly-Clark,16.73382568359375,2
KIM,Kimco Realty,24.460372924804688,3
KMI,Kinder Morgan,-4.644984245300293,0
KHC,Kraft Heinz,-7.364998817443848,0
KR,Kroger,30.459930419921875,2
LHX,L3Harris Technologies,9.01197624206543,3
LKQ,LKQ Corporation,15.479982376098633,1
LH,LabCorp,3.369873046875,3
LRCX,Lam Research,-38.29017639160156,1
LW,Lamb Weston,0.355194091796875,2
LVS,Las Vegas Sands,-18.229961395263672,4
LEG,Leggett & Platt,-35.57504653930664,0
LDOS,Leidos,-15.500057220458984,0
LEN,Lennar,3.9499359130859375,4
LNC,Lincoln National,-1.444986343383789,4
LIN,Linde,72.87504577636719,1
LYV,Live Nation Entertainment,-14.190013885498047,0
LMT,Lockheed Martin,-10.83001708984375,1
L,Loews Corporation,-4.319936752319336,0
LOW,Lowe's,-4.909976005554199,0
LUMN,Lumen Technologies,-89.97943115234375,3
LYB,LyondellBasell,-0.09000778198242188,4
MTB,M&T Bank,29.63025665283203,1
MGM,MGM Resorts International,2.6450138092041016,4
MSCI,MSCI,-20.584976196289062,0
MRO,Marathon Oil,-61.23011016845703,0
MPC,Marathon Petroleum,-4.35029411315918,0
MKTX,MarketAxess,-18.155014038085938,0
MAR,Marriott International,-139.47015380859375,1
MMC,Marsh & McLennan,-11.584964752197266,0
MLM,Martin Marietta Materials,39.85508728027344,1
MAS,Masco,-9.069976806640625,0
MA,Mastercard,5.140655517578125,1
MTCH,Match Group,-122.04942321777344,1
MKC,McCormick & Company,33.72609329223633,2
MCD,McDonald's,-1.2750396728515625,3
MCK,McKesson Corporation,4.8402252197265625,1
MDT,Medtronic,3.8598251342773438,4
MRK,Merck & Co.,-49.949913024902344,4
MET,MetLife,-32.53765869140625,1
MTD,Mettler Toledo,-1.019998550415039,0
MCHP,Microchip Technology,298.959716796875,1
MU,Micron Technology,-2.3500466346740723,0
MSFT,Microsoft,-19.324966430664062,2
MAA,Mid-America Apartments,-33.35994338989258,2
MRNA,Moderna,103.41998291015625,2
MHK,Mohawk Industries,45.69001007080078,3
TAP,Molson Coors Beverage Company,280.2430191040039,2
MDLZ,Mondelez International,-18.869976043701172,0
MPWR,Monolithic Power Systems,-21.00998306274414,4
MNST,Monster Beverage,4.620063781738281,3
MCO,Moody's Corporation,117.22026062011719,2
MS,Morgan Stanley,-4.780006408691406,1
